LFM;0;0;0;0;0;0;0;0;0;0;
FM;8;0;0;0;0;0;0;0;0;0;
PSK;76;100;100;100;100;100;100;100;100;100;
NM;16;0;0;0;0;0;0;0;0;0;
2PSK;1;0;0;0;0;0;0;0;0;0;
4PSK;21;0;0;0;0;0;0;0;0;0;
MPSK;54;100;100;100;100;100;100;100;100;100;
LFM;0;0;0;0;0;0;0;0;0;0;
FM;12;0;0;0;0;0;0;0;0;0;
PSK;81;100;100;100;100;100;100;100;100;100;
NM;7;0;0;0;0;0;0;0;0;0;
2PSK;6;0;0;0;0;0;0;0;0;0;
4PSK;21;0;0;0;0;0;0;0;0;0;
MPSK;54;100;100;100;100;100;100;100;100;100;
LFM;0;0;0;0;0;0;0;0;0;0;
FM;11;0;0;0;0;0;0;0;0;0;
PSK;85;100;100;100;100;100;100;100;100;100;
NM;4;0;0;0;0;0;0;0;0;0;
2PSK;4;0;0;0;0;0;0;0;0;0;
4PSK;15;0;0;0;0;0;0;0;0;0;
MPSK;66;100;100;100;100;100;100;100;100;100;
LFM;0;0;0;0;0;0;0;0;0;0;
FM;6;0;0;0;0;0;0;0;0;0;
PSK;94;100;100;100;100;100;100;100;100;100;
NM;0;0;0;0;0;0;0;0;0;0;
2PSK;4;0;0;0;0;0;0;0;0;0;
4PSK;14;0;0;0;0;0;0;0;0;0;
MPSK;76;100;100;100;100;100;100;100;100;100;
LFM;1;0;0;0;0;0;0;0;0;0;
FM;7;0;0;0;0;0;0;0;0;0;
PSK;92;100;100;100;100;100;100;100;100;100;
NM;0;0;0;0;0;0;0;0;0;0;
2PSK;2;0;0;0;0;0;0;0;0;0;
4PSK;8;0;0;0;0;0;0;0;0;0;
MPSK;82;100;100;100;100;100;100;100;100;100;
LFM;1;0;0;0;0;0;0;0;0;0;
FM;2;0;0;0;0;0;0;0;0;0;
PSK;97;100;100;100;100;100;100;100;100;100;
NM;0;0;0;0;0;0;0;0;0;0;
2PSK;1;0;0;0;0;0;0;0;0;0;
4PSK;11;0;0;0;0;0;0;0;0;0;
MPSK;85;100;100;100;100;100;100;100;100;100;
LFM;2;0;0;0;0;0;0;0;0;0;
FM;0;0;0;0;0;0;0;0;0;0;
PSK;98;100;100;100;100;100;100;100;100;100;
NM;0;0;0;0;0;0;0;0;0;0;
2PSK;10;0;0;0;0;0;0;0;0;0;
4PSK;12;0;0;0;0;0;0;0;0;0;
MPSK;76;100;100;100;100;100;100;100;100;100;
LFM;13;0;0;0;0;0;0;0;0;0;
FM;2;0;0;0;0;0;0;0;0;0;
PSK;85;100;100;100;100;100;100;100;100;100;
NM;0;0;0;0;0;0;0;0;0;0;
2PSK;16;0;0;0;0;0;0;0;0;0;
4PSK;11;0;0;0;0;0;0;0;0;0;
MPSK;58;100;100;100;100;100;100;100;100;100;
LFM;42;7;0;0;0;0;0;0;0;0;
FM;0;3;0;0;0;0;0;0;0;0;
PSK;56;90;100;100;100;100;100;100;100;100;
NM;2;0;0;0;0;0;0;0;0;0;
2PSK;32;8;2;2;1;3;2;6;8;5;
4PSK;4;5;2;1;1;1;2;1;1;1;
MPSK;20;77;96;97;98;96;96;93;91;94;
