LFM;0;0;0;0;0;0;0;0;0;0;
FM;0;0;1;0;1;2;3;1;2;1;
PSK;1;53;84;92;96;97;97;99;98;99;
NM;99;47;15;8;3;1;0;0;0;0;
2PSK;0;24;40;61;75;84;90;92;96;96;
4PSK;1;7;5;4;5;3;1;0;0;2;
MPSK;0;22;39;27;16;10;6;7;2;1;
Barker 13;0;1;1;4;1;0;4;2;2;1;
Barker 11;0;0;0;1;1;1;2;0;1;2;
Barker 7;0;19;37;56;70;83;81;86;88;90;
Barker 5;0;0;0;0;0;0;1;0;1;0;
LFM;0;0;0;0;0;0;0;0;0;0;
FM;0;0;2;0;0;0;0;0;0;0;
PSK;14;58;87;96;100;98;100;100;100;100;
NM;86;42;11;4;0;2;0;0;0;0;
2PSK;6;42;63;76;92;91;100;100;100;99;
4PSK;1;5;8;8;8;4;0;0;0;1;
MPSK;7;11;16;12;0;3;0;0;0;0;
Barker 13;1;11;15;32;40;50;48;48;56;58;
Barker 11;1;1;2;1;2;0;0;1;0;0;
Barker 7;3;17;36;39;41;32;44;40;36;33;
Barker 5;1;3;0;0;0;0;0;0;0;0;
LFM;5;0;0;0;0;0;0;0;0;0;
FM;0;0;0;0;0;0;0;0;0;0;
PSK;28;94;99;100;100;100;100;100;100;100;
NM;67;6;1;0;0;0;0;0;0;0;
2PSK;27;93;99;99;99;100;100;100;100;100;
4PSK;1;1;0;1;1;0;0;0;0;0;
MPSK;0;0;0;0;0;0;0;0;0;0;
Barker 13;2;38;57;88;78;94;93;91;95;92;
Barker 11;3;9;14;2;1;0;0;0;0;0;
Barker 7;3;6;3;2;0;0;0;0;1;0;
Barker 5;0;2;0;0;0;0;0;0;0;0;
LFM;1;0;0;0;0;0;0;0;0;0;
FM;0;0;0;0;0;0;0;0;0;0;
PSK;43;86;95;96;100;100;100;100;100;100;
NM;56;14;5;4;0;0;0;0;0;0;
2PSK;42;86;95;96;100;100;100;100;100;100;
4PSK;0;0;0;0;0;0;0;0;0;0;
MPSK;1;0;0;0;0;0;0;0;0;0;
Barker 13;6;36;69;84;94;92;95;92;94;97;
Barker 11;8;6;6;5;1;0;0;0;0;0;
Barker 7;1;0;0;0;0;0;0;0;0;0;
Barker 5;1;0;0;1;0;0;0;0;0;0;
LFM;1;0;0;0;0;0;0;0;0;0;
FM;0;0;0;0;0;0;0;0;0;0;
PSK;71;100;100;100;100;100;100;100;100;100;
NM;28;0;0;0;0;0;0;0;0;0;
2PSK;70;100;100;100;100;100;100;100;100;100;
4PSK;0;0;0;0;0;0;0;0;0;0;
MPSK;1;0;0;0;0;0;0;0;0;0;
Barker 13;3;22;75;87;91;95;93;94;96;96;
Barker 11;2;10;1;1;0;0;0;0;0;0;
Barker 7;0;0;0;0;0;0;0;0;0;1;
Barker 5;0;0;0;0;0;0;0;0;0;0;
LFM;3;0;0;0;0;0;0;0;0;0;
FM;0;0;0;0;0;0;0;0;0;0;
PSK;80;100;100;100;100;100;100;100;100;100;
NM;17;0;0;0;0;0;0;0;0;0;
2PSK;80;100;100;100;100;100;100;100;100;100;
4PSK;0;0;0;0;0;0;0;0;0;0;
MPSK;0;0;0;0;0;0;0;0;0;0;
Barker 13;0;6;53;84;93;95;87;96;94;97;
Barker 11;0;0;0;0;0;0;0;0;0;0;
Barker 7;0;0;0;0;0;0;1;0;0;0;
Barker 5;0;0;0;0;0;0;0;0;0;0;
LFM;0;0;0;0;0;0;0;0;0;0;
FM;0;0;2;1;1;1;1;1;0;0;
PSK;7;46;84;93;99;99;99;99;100;100;
NM;93;54;14;6;0;0;0;0;0;0;
2PSK;4;27;49;73;85;92;98;98;99;99;
4PSK;1;3;14;1;7;2;0;1;0;1;
MPSK;2;16;21;19;7;5;1;0;1;0;
Barker 13;1;3;6;5;3;1;4;0;3;2;
Barker 11;2;10;24;45;62;62;68;71;64;72;
Barker 7;0;1;0;1;0;1;0;0;1;1;
Barker 5;0;2;5;3;6;12;9;11;13;9;
LFM;0;0;0;0;0;0;0;0;0;0;
FM;0;0;0;0;0;0;0;0;0;0;
PSK;30;83;93;98;99;100;100;100;100;100;
NM;70;17;7;2;1;0;0;0;0;0;
2PSK;28;78;89;94;98;100;100;100;99;100;
4PSK;0;3;4;4;1;0;0;0;1;0;
MPSK;2;2;0;0;0;0;0;0;0;0;
Barker 13;2;11;9;5;5;3;1;1;2;1;
Barker 11;4;30;64;81;84;91;96;92;86;97;
Barker 7;5;4;5;1;0;0;0;0;0;0;
Barker 5;0;3;1;0;0;0;0;0;0;0;
LFM;1;0;0;0;0;0;0;0;0;0;
FM;0;0;0;0;0;0;0;0;0;0;
PSK;51;97;100;100;100;100;100;100;100;100;
NM;48;3;0;0;0;0;0;0;0;0;
2PSK;49;97;100;100;100;100;100;100;100;100;
4PSK;0;0;0;0;0;0;0;0;0;0;
MPSK;2;0;0;0;0;0;0;0;0;0;
Barker 13;6;4;5;3;1;1;0;0;0;0;
Barker 11;8;39;69;88;91;94;95;97;92;91;
Barker 7;7;12;5;2;0;0;0;0;0;0;
Barker 5;4;2;0;0;0;0;0;0;0;0;
LFM;1;0;1;0;0;0;0;0;0;0;
FM;0;0;0;0;0;0;0;0;0;0;
PSK;65;98;99;100;100;100;100;100;100;100;
NM;34;2;0;0;0;0;0;0;0;0;
2PSK;65;98;99;100;100;100;100;100;100;100;
4PSK;0;0;0;0;0;0;0;0;0;0;
MPSK;0;0;0;0;0;0;0;0;0;0;
Barker 13;3;4;0;0;0;0;0;0;0;0;
Barker 11;4;20;70;87;92;95;97;94;94;96;
Barker 7;1;1;0;0;0;0;0;0;0;0;
Barker 5;0;0;0;0;0;0;0;0;0;0;
LFM;5;0;0;0;0;0;0;0;0;0;
FM;0;0;0;0;0;0;0;0;0;0;
PSK;67;100;100;100;100;100;100;100;100;100;
NM;28;0;0;0;0;0;0;0;0;0;
2PSK;67;100;100;100;100;100;100;100;100;100;
4PSK;0;0;0;0;0;0;0;0;0;0;
MPSK;0;0;0;0;0;0;0;0;0;0;
Barker 13;0;1;3;0;0;0;0;0;0;0;
Barker 11;0;5;47;90;96;92;92;93;93;92;
Barker 7;1;0;0;0;0;0;0;0;0;0;
Barker 5;0;0;0;0;0;0;0;0;0;0;
LFM;0;0;0;0;0;0;0;0;0;0;
FM;0;0;0;0;0;0;0;0;0;0;
PSK;15;50;85;95;98;100;100;100;100;100;
NM;85;50;15;5;2;0;0;0;0;0;
2PSK;12;48;81;93;97;98;100;100;99;100;
4PSK;0;1;2;1;1;2;0;0;1;0;
MPSK;3;1;2;1;0;0;0;0;0;0;
Barker 13;0;2;0;1;0;2;1;0;0;1;
Barker 11;1;2;0;0;0;0;0;2;0;5;
Barker 7;8;40;69;88;84;92;93;97;97;90;
Barker 5;0;0;0;0;0;0;0;0;0;0;
LFM;0;0;0;0;0;0;0;0;0;0;
FM;0;0;0;0;0;0;0;0;0;0;
PSK;35;84;94;100;99;100;100;100;100;100;
NM;65;16;6;0;1;0;0;0;0;0;
2PSK;35;83;94;100;99;100;100;100;100;100;
4PSK;0;1;0;0;0;0;0;0;0;0;
MPSK;0;0;0;0;0;0;0;0;0;0;
Barker 13;4;2;3;1;0;0;1;0;0;1;
Barker 11;1;4;2;0;0;0;1;0;0;1;
Barker 7;6;48;77;96;90;99;92;95;95;93;
Barker 5;10;6;2;1;0;0;0;0;0;0;
LFM;3;0;1;0;0;0;0;0;0;0;
FM;0;0;0;0;0;0;0;0;0;0;
PSK;39;83;96;97;97;100;100;100;100;100;
NM;58;17;3;3;3;0;0;0;0;0;
2PSK;39;83;96;97;97;100;100;100;100;100;
4PSK;0;0;0;0;0;0;0;0;0;0;
MPSK;0;0;0;0;0;0;0;0;0;0;
Barker 13;2;5;1;0;0;0;0;0;0;0;
Barker 11;5;4;3;0;0;0;0;0;1;0;
Barker 7;7;47;75;91;90;90;92;93;90;92;
Barker 5;1;3;0;0;0;0;0;0;0;0;
LFM;3;0;0;0;0;0;0;0;0;0;
FM;0;0;0;0;0;0;0;0;0;0;
PSK;61;96;99;100;100;100;100;100;100;100;
