SNR (dB);-8;-6;-4;-2;0;2;4;6;8;10;
FM;19;65;84;95;96;99;100;100;100;100;
FM;24;63;79;91;99;99;100;100;100;100;
FM;0;3;1;0;0;1;3;10;68;82;
FM;9;3;37;43;75;98;100;100;100;100;
FM;19;55;79;95;98;100;100;100;100;100;
FM;59;98;99;100;100;100;100;100;100;100;
FM;53;93;95;98;100;100;100;100;100;100;
FM;6;31;40;48;54;66;61;76;84;86;
FM;0;1;0;0;0;0;0;0;0;0;
FM;14;61;82;95;99;100;100;100;100;100;
FM;3;17;28;42;57;56;64;62;67;69;
FM;47;74;95;96;100;100;100;100;100;100;
FM;40;86;99;99;100;100;100;100;100;100;
