LFM;0;2;0;0;0;0;0;0;0;0;
FM;0;4;7;6;6;7;7;5;2;4;
PSK;6;58;90;93;92;93;93;95;98;96;
NM;94;36;3;1;2;0;0;0;0;0;
2PSK;0;0;0;0;0;0;0;0;0;0;
4PSK;1;10;12;19;22;12;15;16;15;11;
MPSK;5;48;78;74;70;81;78;79;83;85;
Frank 16;0;3;5;8;9;6;7;11;7;3;
Frank 25;0;4;7;2;2;2;2;0;1;0;
Frank 36;0;0;0;0;0;0;0;0;0;0;
Frank 49;0;0;0;0;0;0;0;0;0;0;
LFM;32;44;0;0;0;0;0;0;0;0;
FM;1;2;13;7;4;1;0;0;0;0;
PSK;23;51;86;93;96;99;100;100;100;100;
NM;44;3;1;0;0;0;0;0;0;0;
2PSK;2;1;0;0;0;0;0;0;0;0;
4PSK;11;47;83;92;96;99;100;100;100;100;
MPSK;10;3;3;1;0;0;0;0;0;0;
Frank 16;1;28;59;89;95;97;99;100;100;100;
Frank 25;0;1;0;0;0;0;0;0;0;0;
Frank 36;0;0;0;0;0;0;0;0;0;0;
Frank 49;0;0;0;0;0;0;0;0;0;0;
LFM;14;4;0;0;0;0;0;0;0;0;
FM;1;6;0;0;1;1;0;1;0;0;
PSK;30;87;100;100;99;99;100;99;100;100;
NM;55;3;0;0;0;0;0;0;0;0;
2PSK;6;6;3;3;0;0;0;0;0;0;
4PSK;12;71;97;97;99;99;100;99;100;100;
MPSK;12;10;0;0;0;0;0;0;0;0;
Frank 16;1;43;84;96;98;99;100;99;100;100;
Frank 25;3;0;0;0;0;0;0;0;0;0;
Frank 36;1;2;0;0;0;0;0;0;0;0;
Frank 49;0;1;0;0;0;0;0;0;0;0;
LFM;47;43;0;0;0;0;0;0;0;0;
FM;0;0;2;0;0;0;0;0;0;0;
PSK;29;57;98;100;100;100;100;100;100;100;
NM;24;0;0;0;0;0;0;0;0;0;
2PSK;7;2;7;8;2;1;0;0;0;0;
4PSK;13;50;91;92;98;99;100;100;100;100;
MPSK;9;5;0;0;0;0;0;0;0;0;
Frank 16;2;26;72;90;98;99;100;100;100;100;
Frank 25;4;0;0;0;0;0;0;0;0;0;
Frank 36;0;0;0;0;0;0;0;0;0;0;
Frank 49;0;0;0;0;0;0;0;0;0;0;
LFM;58;2;0;0;0;0;0;0;0;0;
FM;2;2;5;0;0;0;0;0;0;0;
PSK;36;96;95;100;100;100;100;100;100;100;
NM;4;0;0;0;0;0;0;0;0;0;
2PSK;22;9;2;0;0;0;0;0;0;0;
4PSK;11;82;93;100;100;100;100;100;100;100;
MPSK;3;5;0;0;0;0;0;0;0;0;
Frank 16;0;8;41;96;99;100;100;100;100;100;
Frank 25;0;0;0;0;0;0;0;0;0;0;
Frank 36;0;1;0;0;0;0;0;0;0;0;
Frank 49;0;0;0;0;0;0;0;0;0;0;
LFM;16;47;2;2;0;0;0;0;0;0;
FM;2;3;27;21;29;40;28;39;36;40;
PSK;13;45;71;77;71;60;72;61;64;60;
NM;69;5;0;0;0;0;0;0;0;0;
2PSK;0;0;0;0;0;0;0;0;0;0;
4PSK;2;4;0;0;0;0;0;0;0;0;
MPSK;11;41;71;77;71;60;72;61;64;60;
Frank 16;0;1;0;0;0;0;0;0;0;0;
Frank 25;1;5;19;19;28;28;28;24;18;15;
Frank 36;0;1;5;6;1;0;0;0;0;0;
Frank 49;0;0;0;0;0;0;0;0;0;0;
LFM;33;48;6;0;0;0;0;0;0;0;
FM;2;2;8;8;3;0;0;0;0;0;
PSK;15;48;86;92;97;100;100;100;100;100;
NM;50;2;0;0;0;0;0;0;0;0;
2PSK;4;1;0;1;1;0;0;0;0;0;
4PSK;3;1;0;0;0;0;0;0;0;0;
