LFM;0;0;0;0;0;0;0;0;0;0;;
FM;8;0;0;0;0;0;0;0;0;0;;
PSK;61;100;100;100;100;100;100;100;100;100;;
NM;31;0;0;0;0;0;0;0;0;0;;
2PSK;20;2;0;0;2;2;3;6;2;1;;
4PSK;14;3;0;0;0;0;0;1;0;1;;
MPSK;27;95;100;100;98;98;97;93;98;98;;
LFM;0;0;0;0;0;0;0;0;0;0;;
FM;8;0;0;0;0;0;0;0;0;0;;
PSK;79;100;100;100;100;100;100;100;100;100;;
NM;13;0;0;0;0;0;0;0;0;0;;
2PSK;34;10;2;1;4;5;2;3;4;2;;
4PSK;12;2;0;0;0;0;0;0;0;0;;
MPSK;33;88;98;99;96;95;98;97;96;98;;
LFM;0;0;0;0;0;0;0;0;0;0;;
FM;9;0;0;0;0;0;0;0;0;0;;
PSK;75;100;100;100;100;100;100;100;100;100;;
NM;16;0;0;0;0;0;0;0;0;0;;
2PSK;44;29;7;7;11;23;20;29;28;22;;
4PSK;10;0;0;0;0;0;0;0;0;0;;
MPSK;21;71;93;93;89;77;80;71;72;78;;
LFM;0;0;0;0;0;0;0;0;0;0;;
FM;0;0;0;0;0;0;0;0;0;0;;
PSK;97;100;100;100;100;100;100;100;100;100;;
NM;3;0;0;0;0;0;0;0;0;0;;
2PSK;90;86;79;77;76;78;76;79;85;82;;
4PSK;0;0;0;0;0;0;0;0;0;0;;
MPSK;7;14;21;23;24;22;24;21;15;18;;
LFM;0;0;0;0;0;0;0;0;0;0;;
FM;1;0;0;0;0;0;0;0;0;0;;
PSK;98;100;100;100;100;100;100;100;100;100;;
NM;1;0;0;0;0;0;0;0;0;0;;
2PSK;89;89;86;79;86;92;90;90;92;93;;
4PSK;2;0;0;0;0;0;0;0;0;0;;
MPSK;7;11;14;21;14;8;10;10;8;7;;
LFM;0;0;0;0;0;0;0;0;0;0;;
FM;0;0;0;0;0;0;0;0;0;0;;
PSK;100;100;100;100;100;100;100;100;100;100;;
NM;0;0;0;0;0;0;0;0;0;0;;
2PSK;99;97;94;93;93;93;95;95;96;98;;
4PSK;0;0;0;0;0;0;0;0;0;0;;
MPSK;1;3;6;7;7;7;5;5;4;2;;
LFM;0;0;0;0;0;0;0;0;0;0;;
FM;1;0;0;0;0;0;0;0;0;0;;
PSK;99;100;100;100;100;100;100;100;100;100;;
NM;0;0;0;0;0;0;0;0;0;0;;
2PSK;99;100;99;100;100;100;100;99;100;100;;
4PSK;0;0;0;0;0;0;0;0;0;0;;
MPSK;0;0;1;0;0;0;0;1;0;0;;
LFM;0;0;0;0;0;0;0;0;0;0;;
FM;0;0;0;0;0;0;0;0;0;0;;
PSK;100;100;100;100;100;100;100;100;100;100;;
NM;0;0;0;0;0;0;0;0;0;0;;
2PSK;100;100;100;100;100;100;100;100;100;100;;
4PSK;0;0;0;0;0;0;0;0;0;0;;
MPSK;0;0;0;0;0;0;0;0;0;0;;
LFM;0;0;0;0;0;0;0;0;0;0;;
FM;0;0;0;0;0;0;0;0;0;0;;
PSK;100;100;100;100;100;100;100;100;100;100;;
NM;0;0;0;0;0;0;0;0;0;0;;
2PSK;100;100;100;100;100;100;100;100;100;100;;
4PSK;0;0;0;0;0;0;0;0;0;0;;
MPSK;0;0;0;0;0;0;0;0;0;0;;
LFM;6;0;0;0;0;0;0;0;0;0;;
FM;0;0;0;0;0;0;0;0;0;0;;
PSK;90;100;100;100;100;100;100;100;100;100;;
NM;4;0;0;0;0;0;0;0;0;0;;
2PSK;90;100;100;100;100;100;100;100;100;100;;
4PSK;0;0;0;0;0;0;0;0;0;0;;
MPSK;0;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;;;
LFM;6;0;0;0;0;0;0;0;0;0;;
FM;27;0;0;0;0;0;0;0;0;0;;
PSK;899;1000;1000;1000;1000;1000;1000;1000;1000;1000;;
NM;68;0;0;0;0;0;0;0;0;0;;
2PSK;765;713;667;657;672;693;686;701;707;698;;
4PSK;38;5;0;0;0;0;0;1;0;1;;
MPSK;96;282;333;343;328;307;314;298;293;301;;
