LFM;0;0;0;0;0;0;0;0;0;0;
FM;12;0;0;0;0;0;0;0;0;0;
PSK;76;100;100;100;100;100;100;100;100;100;
NM;12;0;0;0;0;0;0;0;0;0;
2PSK;8;0;0;0;0;0;0;0;0;0;
4PSK;29;1;0;0;0;0;0;0;0;0;
MPSK;39;99;100;100;100;100;100;100;100;100;
LFM;0;0;0;0;0;0;0;0;0;0;
FM;17;0;0;0;0;0;0;0;0;0;
PSK;78;100;100;100;100;100;100;100;100;100;
NM;5;0;0;0;0;0;0;0;0;0;
2PSK;5;0;0;0;0;0;0;0;0;0;
4PSK;15;0;0;0;0;0;0;0;0;0;
MPSK;58;100;100;100;100;100;100;100;100;100;
LFM;0;0;0;0;0;0;0;0;0;0;
FM;19;0;0;0;0;0;0;0;0;0;
PSK;78;100;100;100;100;100;100;100;100;100;
NM;3;0;0;0;0;0;0;0;0;0;
2PSK;8;0;0;0;0;0;0;0;0;0;
4PSK;18;0;0;0;0;0;0;0;0;0;
MPSK;52;100;100;100;100;100;100;100;100;100;
LFM;1;0;0;0;0;0;0;0;0;0;
FM;9;0;0;0;0;0;0;0;0;0;
PSK;90;100;100;100;100;100;100;100;100;100;
NM;0;0;0;0;0;0;0;0;0;0;
2PSK;3;0;0;0;0;0;0;0;0;0;
4PSK;28;3;2;3;6;8;12;10;11;9;
MPSK;59;97;98;97;94;92;88;90;89;91;
LFM;0;0;0;0;0;0;0;0;0;0;
FM;8;0;0;0;0;0;0;0;0;0;
PSK;92;100;100;100;100;100;100;100;100;100;
NM;0;0;0;0;0;0;0;0;0;0;
2PSK;0;0;0;0;0;0;0;0;0;0;
4PSK;41;15;24;34;34;44;36;45;48;52;
MPSK;51;85;76;66;66;56;64;55;52;48;
LFM;3;0;0;0;0;0;0;0;0;0;
FM;3;0;0;0;0;0;0;0;0;0;
PSK;94;100;100;100;100;100;100;100;100;100;
NM;0;0;0;0;0;0;0;0;0;0;
2PSK;6;0;0;0;0;0;0;0;0;0;
4PSK;47;34;60;54;70;82;80;83;93;94;
MPSK;41;66;40;46;30;18;20;17;7;6;
LFM;1;0;0;0;0;0;0;0;0;0;
FM;5;0;0;0;0;0;0;0;0;0;
PSK;94;100;100;100;100;100;100;100;100;100;
NM;0;0;0;0;0;0;0;0;0;0;
2PSK;5;0;0;0;0;0;0;0;0;0;
4PSK;66;69;70;91;93;95;100;99;99;100;
MPSK;23;31;30;9;7;5;0;1;1;0;
LFM;14;0;0;0;0;0;0;0;0;0;
FM;2;0;0;0;0;0;0;0;0;0;
PSK;84;100;100;100;100;100;100;100;100;100;
NM;0;0;0;0;0;0;0;0;0;0;
2PSK;19;0;0;0;0;0;0;0;0;0;
4PSK;57;85;96;99;100;100;100;100;100;100;
MPSK;8;15;4;1;0;0;0;0;0;0;
LFM;56;0;0;0;0;0;0;0;0;0;
FM;0;2;0;0;0;0;0;0;0;0;
PSK;42;98;100;100;100;100;100;100;100;100;
NM;2;0;0;0;0;0;0;0;0;0;
2PSK;20;7;1;0;2;0;3;1;1;0;
4PSK;17;90;99;100;98;100;97;99;99;100;
MPSK;5;1;0;0;0;0;0;0;0;0;
;;;;;;;;;;;
LFM;75;0;0;0;0;0;0;0;0;0;
FM;75;2;0;0;0;0;0;0;0;0;
PSK;728;898;900;900;900;900;900;900;900;900;
NM;22;0;0;0;0;0;0;0;0;0;
2PSK;74;7;1;0;2;0;3;1;1;0;
4PSK;318;297;351;381;401;429;425;436;450;455;
MPSK;336;594;548;519;497;471;472;463;449;445;
4PSK ()%;0,353333333333333;0,33;0,39;0,423333333333333;0,445555555555556;0,476666666666667;0,472222222222222;0,484444444444444;0,5;0,505555555555556;
