SNR (dB);-8;-6;-4;-2;0;2;4;6;8;10;
FM;0;0;0;0;0;0;0;0;0;0;
PSK;2;0;0;0;0;0;0;0;0;0;
NM;0;0;0;0;0;0;0;0;0;0;
LFM Asc.;1;0;0;0;0;0;0;0;0;0;
LFM Desc.;5;54;97;100;100;100;100;100;100;100;
LFM Tri. A;91;46;3;0;0;0;0;0;0;0;
LFM Tri. V;1;0;0;0;0;0;0;0;0;0;
FM;0;0;0;0;0;0;0;0;0;0;
PSK;0;0;0;0;0;0;0;0;0;0;
NM;0;0;0;0;0;0;0;0;0;0;
LFM Asc.;0;0;0;0;0;0;0;0;0;0;
LFM Desc.;3;0;0;0;0;0;0;0;0;0;
LFM Tri. A;97;100;100;100;100;100;100;100;100;100;
LFM Tri. V;0;0;0;0;0;0;0;0;0;0;
FM;0;0;0;0;0;0;0;0;0;0;
PSK;0;0;0;0;0;0;0;0;0;0;
NM;0;0;0;0;0;0;0;0;0;0;
LFM Asc.;0;0;0;0;0;0;0;0;0;0;
LFM Desc.;1;0;0;0;0;0;0;0;0;0;
LFM Tri. A;97;100;100;100;100;100;100;100;100;100;
LFM Tri. V;2;0;0;0;0;0;0;0;0;0;
FM;0;0;0;0;0;0;0;0;0;0;
PSK;0;0;0;0;0;0;0;0;0;0;
NM;0;0;0;0;0;0;0;0;0;0;
LFM Asc.;7;0;0;0;0;0;0;0;0;0;
LFM Desc.;0;0;0;0;0;0;0;0;0;0;
LFM Tri. A;90;100;100;100;100;100;100;100;100;100;
LFM Tri. V;3;0;0;0;0;0;0;0;0;0;
