I.1.     Sen˜ales  sin  modulacio´n  intrapulso.;;;;;;;;;;;;;;;;;;;;
SNR (dB);-8;-6;-4;;-2;;0;;2;;4;;6;;8;;10;;;
LFM;7;13;17;;7;;2;;0;;0;;0;;0;;0;;;
FM;0;0;0;;0;;0;;0;;0;;0;;0;;0;;;
PSK;0;0;2;;0;;1;;0;;0;;0;;0;;0;;;
NM;93;87;81;;93;;97;;100;;100;;100;;100;;100;;;
Tabla I.1: NM, PW  = 1 µs. NB  = 32 muestras.;;;;;;;;;;;;;;;;;;;;
SNR (dB);-8;-6;;-4;;-2;;0;;2;;4;;6;;8;;10;;
LFM;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;
FM;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;
PSK;4;0;;0;;0;;0;;0;;0;;0;;0;;0;;
NM;96;100;;100;;100;;100;;100;;100;;100;;100;;100;;
Tabla I.2: NM, PW  = 3 µs. NB  = 64 muestras.;;;;;;;;;;;;;;;;;;;;

SNR (dB);-8;-6;-4;-2;;0;;2;;;4;;;6;;;8;;;10;;;;
LFM;1;1;0;0;;1;;0;;;0;;;0;;;0;;;0;;;;
FM;0;0;0;0;;0;;0;;;0;;;0;;;0;;;0;;;;
PSK;6;0;0;0;;0;;0;;;0;;;0;;;0;;;0;;;;
NM;93;99;100;100;;99;;100;;;100;;;100;;;100;;;100;;;;
Tabla I.3: NM, PW  = 5 µs. NB  = 128 muestras.;;;;;;;;;;;;;;;;;;;;;;;;
SNR (dB);-8;-6;-4;-2;;0;;;2;;;4;;;6;;;8;;;10;;;
LFM;1;0;0;0;;0;;;0;;;0;;;0;;;0;;;0;;;
FM;0;0;0;0;;0;;;0;;;0;;;0;;;0;;;0;;;
PSK;12;1;0;0;;0;;;0;;;0;;;0;;;0;;;0;;;
NM;87;99;100;100;;100;;;100;;;100;;;100;;;100;;;100;;;
Tabla I.4: NM, PW  = 15 µs. NB  = 256 muestras.;;;;;;;;;;;;;;;;;;;;;;;;
SNR (dB);-8;-6;-4;-2;0;;2;;;4;;;6;;;8;;;10;;;;;
LFM;4;2;0;1;1;;1;;;0;;;1;;;0;;;0;;;;;
FM;0;0;0;0;0;;0;;;0;;;0;;;0;;;0;;;;;
PSK;27;3;0;0;0;;0;;;0;;;0;;;0;;;0;;;;;
NM;69;95;100;99;99;;99;;;100;;;99;;;100;;;100;;;;;
Tabla I.5: NM, PW  = 35 µs. NB  = 256 muestras.;;;;;;;;;;;;;;;;;;;;;;;;

SNR (dB);-8;-6;-4;;-2;0;2;4;;6;;8;;10;;;
LFM;12;1;0;;1;2;1;0;;1;;1;;0;;;
FM;0;0;0;;0;0;0;0;;0;;0;;0;;;
PSK;49;11;0;;0;0;0;0;;0;;0;;0;;;
NM;39;88;100;;99;98;99;100;;99;;99;;100;;;
Tabla I.6: NM, PW  = 100 µs. NB  = 256 muestras.;;;;;;;;;;;;;;;;;
SNR (dB);-8;-6;-4;-2;;0;2;;4;;6;;8;;10;;
LFM;11;2;4;0;;1;0;;0;;0;;0;;0;;
FM;0;0;0;0;;0;0;;0;;0;;0;;0;;
PSK;82;31;0;0;;0;0;;0;;0;;0;;0;;
NM;7;67;96;100;;99;100;;100;;100;;100;;100;;
Tabla I.7: NM, PW  = 250 µs. NB  = 256 muestras.;;;;;;;;;;;;;;;;;

I.2.     Sen˜ales  con  modulacio´n  LFM.;;;;;;;;;;;
SNR (dB);-8;-6;-4;-2;0;2;4;6;8;10;
LFM;1;17;18;10;13;8;39;58;74;92;
FM;0;0;1;0;0;0;0;1;1;3;
PSK;0;0;5;2;1;0;0;0;0;0;
NM;99;83;76;88;86;92;61;41;25;5;
LFM Asc.;0;10;10;10;13;8;39;58;74;92;
LFM Desc.;1;7;8;0;0;0;0;0;0;0;
Tabla I.8: LFM, BW  = 0.5 MHz, PW  = 1 µs. NB  = 32 muestras.;;;;;;;;;;;


SNR (dB);-8;-6;-4;-2;0;2;4;6;8;10;
LFM;1;7;25;31;64;77;98;97;97;97;
FM;0;0;0;0;1;1;2;3;3;3;
PSK;0;0;2;2;0;0;0;0;0;0;
NM;99;93;73;67;35;22;0;0;0;0;
LFM Asc.;1;6;16;30;64;77;98;97;97;97;
LFM Desc.;0;1;9;1;0;0;0;0;0;0;
Tabla I.9: LFM, BW  = 1 MHz, PW  = 1 µs. NB  = 32 muestras.;;;;;;;;;;;
SNR (dB);-8;-6;-4;-2;0;2;4;6;8;10;
LFM;23;89;95;98;98;98;99;97;99;97;
FM;0;0;0;1;0;2;1;3;1;3;
PSK;0;0;5;1;2;0;0;0;0;0;
NM;77;11;0;0;0;0;0;0;0;0;
LFM Asc.;23;89;95;98;98;98;99;97;99;97;
Tabla I.10: LFM, BW  = 5 MHz, PW  = 1 µs. NB  = 32 muestras.;;;;;;;;;;;

SNR (dB);-8;-6;-4;-2;0;2;4;6;8;10;
LFM;36;85;92;95;95;99;99;99;98;99;
FM;0;0;5;3;2;1;1;1;2;1;
PSK;0;1;3;2;3;0;0;0;0;0;
NM;64;14;0;0;0;0;0;0;0;0;
LFM Asc.;36;85;92;95;95;99;99;99;98;99;
SNR (dB);-8;-6;-4;-2;0;2;4;6;8;10;
LFM;2;0;1;1;16;17;55;97;98;98;
FM;0;0;0;0;0;0;0;1;1;2;
PSK;5;0;0;0;0;0;0;0;0;0;
NM;93;100;99;99;84;83;45;2;1;0;
LFM Asc.;1;0;1;1;16;17;55;97;98;98;
LFM Desc.;1;0;0;0;0;0;0;0;0;0;

SNR (dB);-8;-6;-4;-2;0;2;4;6;8;10;;
LFM;0;0;9;39;88;98;99;99;96;100;;
FM;0;0;0;0;0;0;0;1;4;0;;
PSK;2;0;0;0;0;0;0;0;0;0;;
NM;98;100;91;61;12;2;1;0;0;0;;
LFM Asc.;0;0;9;39;88;98;99;99;96;100;;
Tabla I.13: LFM, BW  = 0.5 MHz, PW  = 3 µs. NB  = 64 muestras.;;;;;;;;;;;;
SNR (dB);-8;-6;-4;-2;0;2;4;6;;8;10;
LFM;0;23;99;100;99;100;100;100;;98;100;
FM;0;0;0;0;1;0;0;0;;2;0;
PSK;5;1;0;0;0;0;0;0;;0;0;
NM;95;76;1;0;0;0;0;0;;0;0;
LFM Asc.;0;23;99;100;99;100;100;100;;98;100;
Tabla I.14: LFM, BW  = 1 MHz, PW  = 3 µs. NB  = 64 muestras.;;;;;;;;;;;;

SNR (dB);-8;-6;-4;-2;0;2;4;6;8;10;
LFM;24;92;100;99;100;100;98;97;98;99;
FM;0;0;0;1;0;0;2;3;2;1;
PSK;1;0;0;0;0;0;0;0;0;0;
NM;75;8;0;0;0;0;0;0;0;0;
LFM Asc.;24;92;100;99;100;100;98;97;98;99;
SNR (dB);-8;-6;-4;-2;0;2;4;6;8;10;
LFM;52;100;100;99;98;98;98;97;100;98;
FM;0;0;0;1;2;2;2;3;0;2;
PSK;4;0;0;0;0;0;0;0;0;0;
NM;44;0;0;0;0;0;0;0;0;0;
LFM Asc.;52;100;100;99;98;98;98;97;100;98;

SNR (dB);-8;-6;-4;-2;0;2;4;6;8;10;
LFM;1;0;0;3;11;16;65;99;99;100;
FM;0;0;0;0;0;0;0;0;1;0;
PSK;2;0;0;0;0;0;0;0;0;0;
NM;97;100;100;97;89;84;35;1;0;0;
LFM Asc.;1;0;0;3;11;16;65;99;99;100;
Tabla I.17: LFM, BW  = 0.1 MHz, PW  = 5 µs. NB  = 128 muestras.;;;;;;;;;;;
SNR (dB);-8;-6;-4;-2;0;2;4;6;8;10;
